Year,Rank,Distributor,Movies,1995 Gross,Tickets,Share
1995,1,Walt Disney,38,"$1,012,024,150","232,649,211",19.04
1995,2,Warner Bros.,31,"$866,884,482","199,283,775",16.31
1995,3,Sony Pictures,31,"$682,169,140","156,820,477",12.84
1995,4,Universal,21,"$666,656,425","153,254,338",12.54
1995,5,Paramount Pictures,21,"$529,884,404","121,812,497",9.97
1995,6,20th Century Fox,15,"$410,787,635","94,433,933",7.73
1995,7,MGM,19,"$333,155,248","76,587,403",6.27
1995,8,New Line,16,"$331,897,897","76,298,359",6.25
1995,9,Miramax,38,"$186,292,656","42,825,880",3.51
1995,10,Savoy,9,"$65,459,506","15,048,158",1.23
1995,11,IMAX Films,1,"$64,800,000","14,896,551",1.22
1995,12,Gramercy,15,"$59,488,898","13,675,600",1.12
1995,13,Sony Pictures Classics,14,"$21,750,572","5,000,124",0.41
1995,14,Goldwyn Entertainment,8,"$20,993,601","4,826,112",0.40
1995,15,Fine Line,11,"$16,077,262","3,695,915",0.30
1995,16,Fox Searchlight,1,"$10,426,506","2,396,897",0.20
1995,17,Shining Excalibur,1,"$7,412,216","1,703,957",0.14
1995,18,First Look,2,"$6,574,185","1,511,306",0.12
1995,19,October Films,5,"$5,191,751","1,193,504",0.10
1995,20,Orion Classics,3,"$3,984,025","915,867",0.07
1995,21,Sony/TriStar,2,"$2,943,534","676,674",0.06
1995,22,Orion Pictures,1,"$2,471,351","568,126",0.05
1995,23,Trimark,4,"$2,061,565","473,922",0.04
1995,24,Warren Miller Entertainment,1,"$1,966,454","452,058",0.04
1995,25,Strand,3,"$872,106","200,483",0.02
1995,26,New Yorker,2,"$532,868","122,498",0.01
1995,27,Arrow Releasing,1,"$399,748","91,896",0.01
1995,28,Penland,1,"$381,000","87,586",0.01
1995,29,Cinepix Film Properties,2,"$202,974","46,660",0.00
1995,30,Interfilm,1,"$144,961","33,324",0.00
1995,31,Rainbow Releasing,1,"$138,528","31,845",0.00
1995,32,IRS Releasing,2,"$121,777","27,994",0.00
1995,33,ISA Releasing,1,"$107,528","24,719",0.00
1995,34,Group 1,1,"$57,595","13,240",0.00
1995,35,Columbia,1,"$41,628","9,569",0.00
1995,36,Kino International,1,"$5,490","1,262",0.00
1995,37,Castle Hill Productions,1,"$5,000","1,149",0.00
1995,38,Zeitgeist,1,"$1,424",327,0.00
1996,1,Walt Disney,37,"$1,197,737,813","270,981,385",20.76
1996,2,Warner Bros.,29,"$909,761,563","205,828,394",15.77
1996,3,Paramount Pictures,24,"$740,924,146","167,629,885",12.84
1996,4,20th Century Fox,15,"$730,976,224","165,379,228",12.67
1996,5,Sony Pictures,39,"$613,455,899","138,790,908",10.63
1996,6,Universal,18,"$482,379,703","109,135,672",8.36
1996,7,New Line,20,"$297,962,883","67,412,408",5.16
1996,8,MGM,19,"$292,208,554","66,110,524",5.07
1996,9,Miramax,40,"$243,647,983","55,123,957",4.22
1996,10,Gramercy,14,"$83,450,697","18,880,240",1.45
1996,11,Sony Pictures Classics,17,"$40,200,823","9,095,201",0.70
1996,12,Orion Pictures,5,"$35,023,932","7,923,964",0.61
1996,13,Miramax/Dimension,1,"$25,728,961","5,821,031",0.45
1996,14,Fox Searchlight,4,"$19,043,456","4,308,473",0.33
1996,15,Goldwyn Entertainment,7,"$15,985,241","3,616,567",0.28
1996,16,October Films,9,"$10,776,486","2,438,114",0.19
1996,17,Fine Line,7,"$9,076,896","2,053,595",0.16
1996,18,First Look,4,"$4,545,458","1,028,382",0.08
1996,19,BET Pictures,1,"$2,291,255","518,383",0.04
1996,20,Warren Miller Entertainment,1,"$2,035,470","460,513",0.04
1996,21,Kit Parker Films,1,"$1,229,715","278,216",0.02
1996,22,Cinepix Film Properties,5,"$1,185,497","268,209",0.02
1996,23,Orion Classics,2,"$1,080,501","244,456",0.02
1996,24,Northern Arts Entertainment,3,"$969,699","219,388",0.02
1996,25,Lionsgate,1,"$852,362","192,842",0.01
1996,26,FM Entertainment International,1,"$684,351","154,830",0.01
1996,27,Alliance Films,1,"$575,001","130,090",0.01
1996,28,Filmopolis Pictures,1,"$555,900","125,769",0.01
1996,29,Rainbow Releasing,1,"$510,271","115,445",0.01
1996,30,Palm Pictures,1,"$443,579","100,357",0.01
1996,31,Columbia,1,"$378,678","85,673",0.01
1996,32,New Yorker,2,"$343,987","77,824",0.01
1996,33,Artistic License,1,"$337,560","76,371",0.01
1996,34,Discovery/IMAX,1,"$321,070","72,640",0.01
1996,35,Strand,3,"$314,602","71,176",0.01
1996,36,Roxie Releasing,1,"$295,493","66,853",0.01
1996,37,Legacy Releasing,3,"$269,399","60,949",0.00
1996,38,Paulist Pictures,1,"$225,161","50,941",0.00
1996,39,Seventh Art Releasing,1,"$209,935","47,496",0.00
1996,40,Savoy,1,"$197,322","44,642",0.00
1996,41,Spelling Films,1,"$185,170","41,893",0.00
1996,42,PFM,1,"$19,982","4,520",0.00
1996,43,Trimark,1,"$5,000","1,131",0.00
1996,44,Kino International,1,"$5,000","1,131",0.00
1996,45,Castle Hill Productions,1,"$5,000","1,131",0.00
1996,46,JeTi Films,1,$527,119,0.00
1997,1,Sony Pictures,36,"$1,269,256,493","276,526,450",20.37
1997,2,Walt Disney,33,"$885,889,269","193,004,183",14.22
1997,3,Paramount Pictures,27,"$761,495,079","165,903,053",12.22
1997,4,Warner Bros.,30,"$670,912,791","146,168,351",10.77
1997,5,20th Century Fox,21,"$644,398,839","140,391,895",10.34
1997,6,Universal,13,"$614,947,075","133,975,392",9.87
1997,7,Miramax,33,"$423,765,378","92,323,596",6.80
1997,8,New Line,19,"$334,211,383","72,812,928",5.36
1997,9,MGM,12,"$170,632,351","37,174,799",2.74
1997,10,Dreamworks SKG,3,"$108,096,369","23,550,405",1.74
1997,11,Gramercy,14,"$75,550,740","16,459,850",1.21
1997,12,Fox Searchlight,10,"$49,861,834","10,863,139",0.80
1997,13,Polygram,2,"$48,270,581","10,516,466",0.77
1997,14,Fine Line,12,"$39,276,182","8,556,897",0.63
1997,15,Trimark,7,"$29,963,585","6,528,010",0.48
1997,16,Sony Pictures Classics,19,"$21,998,981","4,792,797",0.35
1997,17,October Films,10,"$18,737,992","4,082,344",0.30
1997,18,Live Entertainment,2,"$15,740,109","3,429,217",0.25
1997,19,Orion Pictures,4,"$13,799,249","3,006,371",0.22
1997,20,Lionsgate,3,"$5,220,478","1,137,357",0.08
1997,21,Sony/TriStar,2,"$4,012,889","874,266",0.06
1997,22,Vestron,1,"$2,868,135","624,866",0.05
1997,23,New Yorker,7,"$2,304,077","501,974",0.04
1997,24,Warren Miller Entertainment,1,"$2,287,639","498,396",0.04
